Title,URL,Address,Compensation,Employment Type,Description 
QA Engineer (CONTRACT),https://newyork.craigslist.org/mnh/egr/d/new-york-city-qa-engineer-contract/6848048159.html,,--PerYear,contract,"
        
    "
"Project Construction Managers, Proj Engrs, Schedulers, Inspectors",https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-construction/6848085832.html,"Washington DC, MD, VA, NJ, Metropolitan NY, and PA areas",Depending on experience.,full-time,"
        
IMMEDIATE NEED

• Project Managers / Construction Managers
• Project Engineers
• Schedulers
• Cost Estimators
• Inspectors

Looking for responsible and experienced staff for transit and building projects in the Washington DC and Trenton, NJ areas. Residents of New Jersey, Pennsylvania, Maryland, Delaware, Virginia, Metropolitan NY, and District of Columbia preferred. Candidate must be a proactive team player with strong verbal, written and interpersonal skills. Background and reference check required.

We offer competitive pay and benefits. Please submit your resume along with a cover letter telling us briefly about yourself, why you qualify for the position, and your desired salary.

Minimum Qualifications
• Building/Transit project experience desired but not necessary
• Minimum 2 years of relevant experience
• 4 years experience in lieu of college degree acceptable
• Preferably residence of Washington DC, Maryland, Virginia, New Jersey and Pennsylvania
• Authorized to work in the US
• Proficient/experienced in Microsoft Office applications, Primavera P6 (desirable) and other job related applications
    "
Architects - Residential Experience,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architects-residential/6848801325.html,Manhattan,Commensurate with experience,full-time,"
        
Manhattan based Architectural design firm has immediate opening for suitably qualified, self-motivated architects (approx. 10 years post graduate experience), having particular expertise in the design and construction documentation of high-end, single-family residences.

Candidates must have proven design experience for both new buildings and renovation of existing structures. Prior experience with DoB Applications and with Landmarked or historic properties is a plus.  Candidate must be familiar with the NYC Building Code, should have excellent planning skills and, as well as  knowledge of fine materials and their detailing.  

Acceptable candidates should have:
•	completed an architectural degree program;
•	approximately 10 years post-graduate design and construction documentation experience;
•	prior experience with construction documentation for residential projects, including millworking;
•	extensive familiarity with New York City and New York State Building Codes;
•	AutoCAD (3D skills are not mandatory);
•	US citizenship or established Visa / Work Permit.

E-mail resume with brief cover letter stating comparable residential experience only. Samples of recent Design and Construction Drawings for Residential Projects must be included in order to be considered for the position.  Please do not include samples of commercial, industrial or institutional work. We regret that resumes from recent graduates or over-qualified candidates cannot be considered for this position.    "
Project Manager for Custom Fabrication Studio,https://newyork.craigslist.org/mnh/egr/d/chattanooga-project-manager-for-custom/6849341425.html,"Chattanooga, TN",$50000 - $60000 /year,full-time,"
        
Range Projects is a collaborative design and custom fabrication studio based in Chattanooga, TN.  We team with architects and designers to create extraordinary objects and spaces. Our clients range from large international manufacturers to small boutique operations. We are a young company enjoying exciting growth seeking a detail-oriented person to steer projects from inception to completion.  


Project Manager

Job Summary: 
The Project Manager is a liaison between clients, internal designers and production leads. They are responsible for consulting with clients to assess their needs, communicating those needs to the design and production teams and managing projects through production to completion


Responsibilities: 
Guide clients through the design and production phases of projects
Assess project design criteria with client
Communicate design criteria to internal designers
Work with internal designers and production leads to identify project material and labor needs
Estimate project costs
Develop project proposals / quotes
Ensure materials are purchased and necessary services are scheduled in a timely manner
Coordinate with subcontractors as needed
Coordinate with Production Leads to ensure projects are completed as designed and on time.
Collect and document project data with all key players upon project completion
Maintain a high standard of excellence and professionalism 	


Skills Required:
Strong written and verbal communication skills
Professional experience in architecture, construction management, or exhibit design
Ability to manage multiple concurrent projects 
Adept at Word, Excel, and email
Ability to read architectural plans / shop drawings
Experience wth AutoCAD and or SketchUp software is a plus


Benefits:
Paid time off
Profit sharing
Health Insurance Negotiable
    "
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/6849819650.html,"Jamaica, Queens",Commensurate with Experience,full-time,"
        
Mssa, a Small Successful 8-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hospitality projects. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years' experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.
    "
Drafter/project manager,https://newyork.craigslist.org/brk/egr/d/drafter-project-manager/6849885758.html,brooklyn,Depending on experience,full-time,"
        
We are a midsize millwork & custom made cabinetry company located in East Williamsburg. We have been growing steadily and we continue to grow in this industry. We are looking  for a candidate that would love to grow with us. We are looking to fill this position with an honest and hard working person.

Requirements:
-	Must have experience in Auto Cad 2011 and up
-	Must have experience in millwork construction and should be able to convey this in shop drawings
-	Must be able to multi task and focus on multiple projects
-	Must be able to take field dimensions 
-	Must be eager to learn & grow within the industry
-	CNC programming is a plus

Responsibilities:
 - The ideal candidate will be responsible of taking field dimensions and creating detailed shop drawings. Once the shop drawings are completed and approved he or she should put them into production and make sure everything is built as indicated.  

When applying for this job write ""drafter/project manager"" on the subject. Please send us your resume and samples of your work.    "
TOP Expediting Firm- Immediate Openings for Project Managers!!,https://newyork.craigslist.org/mnh/egr/d/new-york-city-top-expediting-firm/6849914258.html,Midtown West,DOE,full-time,"
        
Outsource is the leading provider of Building Code and Zoning Consultation, offering a broad scope of services that includes Approvals, Permit Expediting, and Sign Offs. Outsource prides itself on unparalleled expert representation to architects, engineers, building owners, building managers, attorneys, and contractors. Our encyclopedic knowledge of the Municipal Building Codes and Zoning Laws that regulate construction enables us to navigate projects efficiently and quickly through the application, approval, and sign off processes. The final result is the successful completion of all our projects and absolute customer satisfaction.

We have an immediate openings for: 

* Assistant Project Manager
* C/O Project Manager
* Technical Project Manager
* Violations Coordinator 


Awesome team-oriented work environment and company benefits package.

Company Perks:

- Paid vacation and personal days
- Paid Holidays 
- Health, Dental, Vision Insurance
- 401K
- Company funded HRA
- Bonus opportunities

- Chance to grow with a dynamic expediting firm who works with elite clients.


This is a fast-paced position that demands an organized, diligent, and detail-oriented candidate.
Successful candidates must be self-motivated (punctual), able to work well in an entrepreneurial environment and be a team player. Equal Opportunity Employer M/F/D/V

Please apply on our careers page:


    "
Expediter Seeks Class 1 or 2 Filing Rep (All Boroughs),https://newyork.craigslist.org/que/egr/d/ozone-park-expediter-seeks-class-1-or-2/6849979477.html,,50k-70k (based on experience),full-time,"
        
Expediting company seeks experienced full time NYC DOB Expediter/Project Manager for work in the five boroughs of New York City.

We are explicitly looking for someone that already has experience with the NYC Department of Buildings and possesses a valid Class 1 or 2 Filing Representative License. 

Some of our work is as follows:

Preparation of Alteration Type I and II applications, filing of applications, acquiring work permits, meeting with examiners for approval, removing violations with DOB/ECB and FDNY, attending C of O inspections, scheduling and attending violation removal inspections, ECB hearings, meetings with Deputy Borough Commissioners, Chief Plan's examiners, meetings with developers, property managers and homeowners. Constant updates to clients by sending detailed emails, occasional creation of spread sheets, creation of reports to be sent to clients, tracking and coordination of all work. 

Requirements:
- Ability to communicate with clients
- Excellent writing skills
- The ability to speak clear
- Strong organization skills
- Be fluent in English
- Valid driver's license 
- Punctuality is a must
- Be able to work with a team

We are ready to hire you today if you qualify and have the experience we are looking for. Our company offers a competitive salary, health coverage, 401K, paid sick leave and vacation pay.

**** If you do not possess a Class 1 or 2 Filing Rep Status, have knowledge of required DOB/DEP/Landmarks and FDNY forms (DOT is a plus), and you cannot read a set of drawings, please do not apply for this job. We will ask you questions pertaining to forms and applications.

Please respond with your resume and your salary requirements. We look forward to hearing from you. 

We are not looking for Drafters or Architects. Thank you.    "
Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect/6850627572.html,Chelsea,Please submit salary expectations,full-time,"
        
Design-oriented full-service Architecture firm based in NYC seeks Architect/job captain with 2-5 years min. NYC experience. Residential and hospitality work highly valued. Please submit resume, examples of work and salary requirements to mail@gilmanarch.com    "
Corporate Facilities Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-corporate-facilities/6850658757.html,"New York, NY",BOE,full-time,"
        

      
      



    


Corner Table Restaurants is looking for Facilities Manager to join our team. 
 

- Manage preventive maintenance of facility equipment in all restaurant locations across New York, Washington DC, and Chicago (opening in the spring). 
- Oversee construction level projects within operational restaurants, managing scope, schedule, budget, and execution.
- Ensure that all required insurance certificates and statutory worker's compensation are in place prior to commencing work. 
- Assist construction team on restaurant turnover during the completion of new construction build outs. 
- Create and maintain facilities systems for tracking all assets, preventative maintenance, work orders and construction projects. 
- Hire, direct, and motivate maintenance staff in planning and executing work procedures. . 
- Inspect all properties on a regular basis to ensure the work conforms to specifications, budget,and initiate any repair or replacement needs and/or adjustment of working procedures.  
 -Work closely with vendor partners on contractual commitments and ensure correct level of service is received.  
 -Maintain appropriate procedures for service calls.  


- You are confident in building and leading a strong team. 
-  You exemplify the highest standards of honesty and integrity. 
- You are willing to go above and beyond to please guests. 
- You are highly confident in your abilities and are detail-oriented. 
-  You are a team player and have excellent communication skills.  
-  You genuinely get joy out of making people happy and are able to have fun while working. 
-  You have a love and passion for the hospitality industry.   


- A positive, supportive, and inclusive work environment. 
-  Competitive salary and company incentives. 
-  Comprehensive benefits plans for full time employees, including medical, dental, vision and life insurance.  
-  Dining program. 
- Bring a friend to work bonus.  
- A great environment to work in surrounded by talented, hardworking, passionate, and fun people. 
- Tremendous Growth Opportunities.    "
Quality Assurance - Architectural,https://newyork.craigslist.org/mnh/egr/d/new-york-city-quality-assurance/6850679666.html,Midtown West,Competitive Salary - DOE,full-time,"
        
SBLM Architecture seeks a Quality Assurance person responsible for ensuring construction drawings are of the highest quality and consistency through monitoring the progress of the project from inception to completion. 


Responsibilities:
Reviews drawings for errors, inconsistencies and quality
Marks up drawings with corrections and changes for the team
Meets with project team to explain errors, corrections and changes
Assists project manager in coordinating architectural drawings with consultant drawings
Provides assistance to AutoCad manager with training for drafters when necessary
Checks drawing specifications for consistency and accuracy

Qualifications:
College degree, specialized training and work experience.
Demonstrated leadership skills including self-direction.
Ability to quickly grasp technical concepts and develop the appropriate approach.
Strong understanding of various quality assurance technologies 

Requirements:
Minimum of 3 years demonstrated experience 
Proficiency in AutoCAD
Knowledge of building codes, accessibility codes and local laws
Knowledge of building design, materials and construction methods
Understands Structural, Mechanical, MEP and other consultant’s drawings 
Ability to communicate with clarity
Must be able to engage multiple teams effectively and drive quality best practices


Compensation and Benefits:
• We offer a competitive salary and benefits package commensurate with experience, and a creative, innovative work environment. 
• Our benefits include Medical/Dental/Vision, 401K Plan, Personal Time Off, Paid Holidays, Long term Disability, Flexible Spending Plan 
• Company Culture: learning and growth opportunities, rewarding projects, free educational ongoing learning

Please submit resume
    "
Sr. Account Manager-Furniture Design,https://newyork.craigslist.org/mnh/egr/d/new-york-city-sr-account-manager/6850806143.html,Midtown,Salary 85k Plus full benefits!,full-time,"
        
Great opportunity working for an International Furniture design company based in NYC
Candidate must be highly motivated, be able to work with a dynamic team, with the ability to multi task!  
A previous background in Designing Furniture,  specification/design work a must!

The Account Manager role will primarily be supporting field based Sales Reps. This role is responsible for the specifications of their projects, ensuring all pricing is correct and Custom elements have been costed with proper part numbers, assisting the sales rep with ""closing the deal"" and most importantly, ensuring a clean order is sent into production with all finishes, floor plans, approved shop drawings to be manufactured.
· Using Project Spec specifying software to complete budgets and quotes
· Work with estimating on any custom elements
· Requesting drawings/images from the design department.
· Checking all drawings and images for accuracy
· Ensure all orders are reviewed for complete data (i.e finishes, floor plans, address, etc) prior to submittal for order processing

Job Requirements
· Furniture Design background required 
· Excellent time management, organizational skills and attention to detail 
· Ability to learn quickly, take direction and complete continued self-education about industry trends
· Project Matrix experience is a plus but not required

    "
Architect / Junior Architect,https://newyork.craigslist.org/fct/egr/d/architect-junior-architect/6850904711.html,New Canaan,Salary commensurate with experience,full-time,"
        
Architectural firm specializing in custom residential design seeks creative, detail oriented, self starting individual for Architect or Junior Architect position. The candidate must be a graduate of an accredited school of architecture with 3-5 years minimum work experience and be proficient in AutoCAD Architecture.  Archicad experience also a plus.  Salary commensurate with experience. Please email resume & work samples and visit our website at www.schettinoarchitects.com.    "
Project Architect Position Available (Queens),https://newyork.craigslist.org/que/egr/d/astoria-project-architect-position/6850923696.html,27-11 Astoria Boulevard,"Compensation will be based upon your skills, education and contribution level.",full-time,"
        
Project Architect Position Available (Astoria, New York) 

 Full time employment position available immediately for a talented, creative and self-motivated project architect position.
 
T.F. Cusanelli & Filletti Architects P.C. located in Astoria, NY has a history of more than 38 years serving the needs of our clients with design excellence. Projects shall include high-end residential, condominiums, mixed-use retail/residential, commercial offices and retail tenant improvements.
 
JOB DESCRIPTION:
 
The work will consist of:
 - Field measuring and documentation of existing buildings.
 - Building, fire and zoning code analysis.
 - Project design.
 - Preparation of Construction Documents.
 - Permit applications and processing.
 - Construction phase services.
 
EXPERIENCE REQUIREMENTS:
 
 A passion for architecture
 BS or BA in Architecture
 3 to 5 years work related experience
 Autocad experience is a must.
 Adobe CS3 experience is a plus.
 Attention to detail, design, completeness, accuracy and timeliness.
 Good graphic skills.
 Strong writing and communication skills
 Ability to work well in a team environment
 
To apply to this position, please email your resume with a cover letter to:
 
Company: T.F. Cusanelli & Filletti Architects P.C.

Contact: Victor Filletti
 
•Principals only. Recruiters, please don't contact this job poster.
•do NOT contact us with unsolicited services or offers
    "
Estimator & Shop Drawer Needed for Plumbing & Fire Suppression,https://newyork.craigslist.org/brk/egr/d/brooklyn-estimator-shop-drawer-needed/6851034273.html,Brooklyn,TBD,full-time,"
        
Busy Plumbing & Fire Suppression Contractor company is seeking for an Estimator to be responsible to provide bidding, Shop Drawings an As Builds.
- Analyze drawings and specifications.
- Understand contractual terms and conditions.
- Able to work on AutoCAD files
- Visit job sites and attend walk- throughs as schedule.
Prior experience is a plus.

Please submit your required salary along with your resume.
    "
Draftsperson/ Junior Architect/ Project Manager,https://newyork.craigslist.org/que/egr/d/astoria-draftsperson-junior-architect/6851509490.html,Astoria,To be determined,full-time,"
        
Custom Interior Millwork and Design Company located in Astoria, NY is looking for an organized and detail oriented individual to become our newest draftsperson and project manager. Senior level students, recent graduates on the career track or Junior architects are encouraged to apply. This multifaceted role is essential to our business and is driven by the needs of our clients. You will be responsible for the successful completion of detailed shop drawings with the use of AutoCAD (MUST have experience with AutoCAD) and the overseeing of our ongoing projects. You will be working directly with clients to bring their visions to life. You will be working closely with our employees to ensure all projects are running smoothly and being completed on time. Woodwork and construction detailing experience preferred. Our projects vary from commercial to high end residential. This is a full-time position.

Key Responsibilities:
-Work closely with clients to understand their vision and execute every detail
-Prepare detailed shop drawings using AutoCAD
-Site survey for field dimensions
-Remain organized in order to manage multiple drawings at once
-Work closely with our foreman, office, and factory staff on all projects
-Oversee our projects to ensure everyone is working diligently to get the job done
-Follow up on every project from beginning to final punch list
-Report back to our owner with updates on drawings and our ongoing projects
-Maintain an excellent work environment
-Manage your personal work email to follow up with clients’ questions and requests and to give necessary updates

Requirements:
-Experience as a draftsperson preferred
-Experience as a project manager preferred
-Experience using AutoCAD is REQUIRED and must be very comfortable with it
-Woodwork construction detailing experience is preferred
-Excellent computer skills
-Excellent phone etiquette 
-Excellent email etiquette
-Fluent in English verbally and written
-Knowledge of Spanish language is a PLUS
-Ability to work in a fast paced environment
-Ability to adapt and use discretion when needed
-Excellent customer service skills
-Excellent judgement and prioritizing ability
-Ability to lead and communicate efficiently

Compensation is negotiable. Please send salary requirements and email resume 
Only serious inquiries will be considered
    "
Corporate Facilities Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-corporate-facilities/6851528203.html,"New York, NY",BOE,full-time,"
        

      
      



    


Corner Table Restaurants is looking for Facilities Manager to join our team. 
 

- Manage preventive maintenance of facility equipment in all restaurant locations across New York, Washington DC, and Chicago (opening in the spring). 
- Oversee construction level projects within operational restaurants, managing scope, schedule, budget, and execution.
- Ensure that all required insurance certificates and statutory worker's compensation are in place prior to commencing work. 
- Assist construction team on restaurant turnover during the completion of new construction build outs. 
- Create and maintain facilities systems for tracking all assets, preventative maintenance, work orders and construction projects. 
- Hire, direct, and motivate maintenance staff in planning and executing work procedures. . 
- Inspect all properties on a regular basis to ensure the work conforms to specifications, budget,and initiate any repair or replacement needs and/or adjustment of working procedures.  
 -Work closely with vendor partners on contractual commitments and ensure correct level of service is received.  
 -Maintain appropriate procedures for service calls.  


- You are confident in building and leading a strong team. 
-  You exemplify the highest standards of honesty and integrity. 
- You are willing to go above and beyond to please guests. 
- You are highly confident in your abilities and are detail-oriented. 
-  You are a team player and have excellent communication skills.  
-  You genuinely get joy out of making people happy and are able to have fun while working. 
-  You have a love and passion for the hospitality industry.   


- A positive, supportive, and inclusive work environment. 
-  Competitive salary and company incentives. 
-  Comprehensive benefits plans for full time employees, including medical, dental, vision and life insurance.  
-  Dining program. 
- Bring a friend to work bonus.  
- A great environment to work in surrounded by talented, hardworking, passionate, and fun people. 
- Tremendous Growth Opportunities.    "
Civil Engineering Project Manager,https://newyork.craigslist.org/stn/egr/d/staten-island-civil-engineering-project/6851536245.html,"Staten Island, NY",Compensation will commensurate with experience.,full-time,"
        
Seeking a Full-time Civil Engineering Project Manager who is experienced with filing applications at the Department of Environmental Protection for House and Site Connections. Structural Engineering is preferred. 

All candidates should have strong ability with the following:
•	C.A.D. drafting experience
•	Exceptional drawing and graphic skills.
•	Working knowledge of NYC Department of Buildings procedure.
•	Well organized and able to interact with clients.
•	Willing to travel to all five borough Building Departments. Most of the work is in Staten Island.

 Preference will be given to candidates with:
•	Type II Filing Representative license with the DOB (if not must be willing to acquire license)
•	Filing Representative license with the FDNY (if not must be willing to acquire)
•	Own form of transportation.
•	Fluent with Adobe Acrobat, 3d Max, Revit or some version of computer aided rendering, All Microsoft Office Applications (Excel, etc)
•	Construction field background.
•	Well-spoken with excellent writing skills.
•	Hand drafting origins and training.

Must be a self-starter who is capable of achieving results with minimal supervision.

Education:
•	Bachelor’s Degree is required

Compensation:
•	Compensation will commensurate with experience. Firm will provide a medical stipend.
This is a FULL TIME position. Work schedule is Monday-Friday, 9:00am-5:00pm.
    "
Project Engineer,https://newyork.craigslist.org/mnh/egr/d/project-engineer/6851547667.html,Midtown West,compensation to be negotiated,full-time,"
        
Beacon Consulting Group, Inc. provides a variety of construction consulting services including construction project management, construction project assessments, estimating, scheduling, construction defects assessment and schedule delay analysis.   In addition, Beacon specializes in assisting Surety clients on troubled construction projects, and implementing the actions necessary to get these projects back on track and successfully completed.  

Beacon is seeking a full time project engineer to assist Beacon Project Managers in our New York City office with the day to operations of construction consulting projects.   The ideal candidate will have a degree in engineering or construction management, some construction management related experience, and an interest in learning about the construction consulting services we provide to our Surety Clients.   
    
Key responsibilities of this position include:

-	Communicating with the subcontractors/vendors on a day-to-day basis
-	Reviewing construction project related documents
-	Assisting the Project Manager to prepare and update the project cost to complete analysis
-	Estimating construction completion costs
-	Preparing and/or reviewing payment requisitions, change orders and other project documents
-	Assisting the Project Manager to prepare and/or analyze project schedules 
-	Assisting the Project Manager to prepare and/or analyze construction and payment bond       
        claims 
-	Assisting the Project Manager to prepare bid packages
-	Coordinating information with subcontractors/vendors
-       Organizing and filing construction project related documents
-       Providing construction management oversight

Beacon is looking for candidates with the following qualifications:

-	Accredited degree(s) in Engineering and/or Construction Management; 
        Degree in Civil is preferred
-	1-2 years of construction project experience is desired
-	Proficiency in MS Office software, including Word, Excel and PowerPoint
-	Experience in Primavera Scheduling software is a plus
-	CADD experience preferred
-	Strong communication, organization and analytical skills   


    "
Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-city-project-manager/6851569862.html,Midtown,Compensation to be determined based on knowledge and experience.,full-time,"
        
Job Purpose Summary:  
The Project Manager is primarily responsible to manage and consult on multiple construction-consulting projects through project closeout or consulting resolution to meet the time and cost objectives specified by the Client and, along with the Senior Project Manager, to act as Beacon’s main client contacts for the project.   Beacon provides construction consulting services which include assisting surety companies with assessment and completion of troubled construction projects, construction management, assessment of construction defects, cost estimating, and claim analysis. 

Key Responsibilities: 

•	Communicating with the project contacts (ie:  client, obligee, principal, attorneys, subcontractors and vendors) on a day-to-day basis
•	Attending project meetings
•	Investigating and assessing construction projects
•	Analyzing and preparing the project cost to complete reports
•	Establishing reserve recommendations
•	Developing completion strategies
•	Preparing project status reports for client
•	Preparing bid packages
•	Analyzing construction claims
•	Reviewing payment bond claims 
•	Ratifying subcontractor agreements 
•	Monitoring the completion of projects through closeout
•	Preparing and analyzing project schedules 
•	Negotiating change orders and claims
•	Reviewing work of the Project Engineer

Experience Required:

•	Minimum of 5 years experience in engineering or construction management of public work projects such as roadways, schools or public transportation and/or large commercial construction projects such as universities, hospitals or hotels 
•	Construction accounting/estimating background required
•	Has demonstrated success in managing or the potential to manage large construction projects
•	Extremely proficient in MS Office software, especially Word, Excel and PowerPoint
•	Knowledgeable in Primavera Scheduling software is preferred
•	CADD experience preferred
•	Strong leadership and decision-making skills
•	Strong communication, organization and analytical skills 
•	Self-motivated and capable of handling multiple projects

If interested, please contact:
Karen Anderson, Business Manager
Beacon Consulting Group, Inc.
kanderson@beacon.ws
    "
Part-time Student Intern Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-city-part-time-student-intern/6851613244.html,Midtown West,Commensurate with experience,part-time,"
        
Come join our small Architectural Practice which is seeking a student Intern to work part time on a variety of projects.  This is a paid position with flexible hours to work around class schedules.  Full-time or additional hours may be available during the summer or at school breaks. 

Our firm is involved in several project types that include: Master Planning, Retail & Showroom Design, Commercial Interiors including Corporate and Co-Working Locations, Apartments and Penthouse Projects, Traditional and Contemporary Homes and Additions. Our current projects are located throughout the tri-state area.

Candidates must be proficient in: AUTOCAD 2014 or higher, Photoshop, Illustrator, InDesign, and must currently be enrolled in an accredited Architecture or Interior Design School. Model making or 3D rendering a plus.

Previous experience in an Architectural or an Interior Design firm is preferred.  Please email your resume and samples of your work.  Work samples should include a brief description of what your role and job duties were for each project.

Regrettably we do not have the capacity to respond to every applicant.
    "
Architect/CAD Drafter,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-cad-drafter/6851646124.html,Brooklyn,Commensurate upon experience,full-time,"
        
We are looking for an ambitious architect who can handle a busy, fast-paced but exciting work environment.

Requisite skills and experience required include knowledge of NYC Zoning and Building Codes as well as liaising with DOB Examiners for plan approvals.

We have exciting new projects coming up and need an enthusiastic and committed individual who can help our team excel to even greater heights.

Must have excellent work ethic, positive attitude and firm understanding of architectural drafting and procedures. Must be an organized and dedicated individual who will become a integral and valued member of our team.    "
SolidWorks Design Engineer (Architectural),https://newyork.craigslist.org/brk/egr/d/solidworks-design-engineer-architectural/6851647477.html,Brooklyn Navy Yard,"commensurate with experience, skills, and final job description",full-time,"
        
Ferra Designs Inc. seeks SolidWorks designers with experience in construction and a specialization in architectural features. Ferra Designs Inc. is an architectural metal and glass firm with a broad portfolio of projects. We have a modern facility in the Brooklyn Navy Yard with an array of CNC equipment including an industrial robot, five-axis CNC router, and 2D CNC cutting machines.

SolidWorks Designers will be assigned up to two construction projects simultaneously. Designers will work with architects, engineers, and construction managers to fully develop architectural features that bridge the gap between design intent and optimal constructability. They will prepare and execute 3D models, and construction documents for their projects.

Candidates must have excellent proficiency with SolidWorks, preferably with applications in construction, manufacturing, or architecture. Excellent understanding of architectural drawings and drafting conventions is required. Candidates must have excellent verbal and written communication skills. Prior experience working in a machine shop and with CNC equipment is a plus. Prior construction, engineering, and project management experience is a plus.

This is not a freelance position. Candidates should be available for an in-person interview.

Please familiarize yourself with our work and submit your cover letter, resume and references via. Craigslist.

Ferra Designs Inc. is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to age, color, national origin, race, religion, sex, sexual orientation, gender identity, protected veteran status, or disability status.    "
Interior Designer/Architect,https://newyork.craigslist.org/brk/egr/d/brooklyn-interior-designer-architect/6851647465.html,Brooklyn,Compensation will be based on experience and previous training.,full-time,"
        
Seeking motivated, design-oriented self-starter for a high-end European kitchen design studio. Understanding and an eye for aesthetic structure is a must. Previous experience in design software is a plus. Organizational skills are imperative.

Candidate will be working alongside a fun and experienced team to create and develop plans for both retail and commercial upscale kitchens using sophisticated design software. Kitchens will integrate the most modern advances in custom cabinetry and appliance technology. Projects will be focused primarily in New York City but will span the globe.

    "
"Construction Inspectors (Bolting, Welding, NDT)",https://newyork.craigslist.org/que/egr/d/astoria-construction-inspectors-bolting/6851750018.html,"Astoria, NY",Dependent on skills & experience,full-time,"
        
Tectonic is currently seeking qualified Construction Inspectors with bolting, welding, and non-destructive testing inspection experience to perform inspections on projects throughout the NYC metro area. 
These positions offer opportunities for professional growth and advancement, as well as industry-specific certifications!
ESSENTIAL FUNCTIONS
The essential functions of this position include traveling to various project sites on a daily basis, monitoring construction operations, and using applicable field testing procedures and testing equipment to perform required field and building inspections and testing, as well as all related testing as required by the project and client to determine compliance with project plans and specifications. Testing procedures and inspections will primarily include structural steel testing. Essential functions also include the preparation of Daily Field Reports, communication of deficiencies observed in the field to project managers, contractors, and/or client representatives, and the interpretation of project-related drawings and documents, as well as all other duties as assigned.
QUALIFICATIONS
•	Must possess a HS Diploma/equivalent and possess and maintain one or more of the certifications or experience listed below:
o	ICC Structural Steel & Bolting Special Inspector;
o	ICC Structural Welding Special Inspector;
o	NDT UT/MT testing experience, with the ability to become certified within a reasonable period of time;
•	Ability to complete OSHA 10-Hour Construction Safety and Health Training within a reasonable time period;
•	Effective oral and written communication skills;
•	Understanding of the fundamentals of building inspection codes and requirements in order to carry out testing, including, but not limited to, International Building Codes, ASTM Standards, and TMS standards;
•	Must be detail oriented;
•	May also require valid, clean driver’s license and personal vehicle to travel to and transport testing equipment to various project sites primarily throughout the New York City metro area, as regular daily travel is required.

COMPETITIVE SALARY & BENEFITS PACKAGE
In addition to providing competitive salaries, Tectonic offers a wide range of benefit options, including:
•	Comprehensive group medical insurance, including health, dental, vision and life
•	Opportunities for professional growth and advancement
•	Tuition reimbursement
•	Paid time off, including vacation, sick and personal
•	Company–observed paid holidays
•	Short and long-term disability coverage
•	Flexible spending accounts for medical expenses and dependent care
•	Commuter benefit plan for public transportation costs
•	401K retirement and profit sharing plan.

To view this position and apply, please visit: 


We are an equal opportunity/affirmative action employer, and highly encourage resumes from all interested parties including women, minorities, veterans and persons with disabilities. All qualified applicants will be afforded equal employment opportunities without discrimination on the basis of race, creed, color, national origin, sex, age, disability, marital status, or any other protected class.
Tectonic participates in the USCIS E-Verify Program to verify that all new hires are authorized to work in the United States.
    "
Junior Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-estimator/6851774846.html,Midtown East,Based on experience and ability,employee's choice,"
        
Munster Drywall & Carpentry is hiring a Junior Estimator to help us keep growing. 

Responsibilities

•	Analyze labor, material, and time requirements for a project
•	Estimate costs by looking at the entire project (Drywall, Millwork & Occasional General Contracting Jobs)
•	Present cost estimates to management
•	Prepare reports detailing all the costs going into a project
•	Input cost data into company database
•	Notice differences between estimated cost and actual cost
•	Look at customer requirements for a project
•	Work with the sales team to prepare proposals

Qualifications 

•	2 years of experience working as an estimator
•	Ability to work independently
•	Ability to put together a professional presentation
•	Ability to create reports on costing data
•	Analytical and math skills
•	Ability to work well on a team
•	Detail oriented
•	Ability to understand technical drawings and requirements
•	Deep knowledge of how processes work
•	Proficient in MS Office, Excel and Word
•	On screen take off (Plan swift estimating software a plus)

Work Hours: Monday through Friday (Flexible hours can be accommodated)
    "
